id,author_last,author_first,author_full_name,title,publisher,publication_year,height_cm,width_cm,depth_cm,binding,page_count,edition_printrun,isbn_asin,editor,contributors,is_signed_inscribed,designer,description,artist_url,publisher_url,collection_grouping,tags,classification,bisac,ddc,location,accession_no,image_url
150,Bradley,Joe,Joe Bradley,The SS Potlicker And Friends,Karma,2014,,,,,,,,,,,false,,,,https://karmakarma.org/,,,,,,,
151,Bradley,ANDRE,ANDRE Bradley,Dark Archives 1-41,,,,,,,,,,,,false,,,,,,,,,,,,
152,Bramly,Sophie,Sophie Bramly,Walk This Way,,,,,,,,,,,,false,,,,,,,,,,,,
153,Brancusi,,Brancusi,"Brancusi, film et photographie, images sans fin",Le Point du Jou,,,,,,,,,,,false,,,,,,,,,,,,
154,Brandon,David,David Brandon,Amusement Park,,,,,,,,,,,,false,,,,,,,,,,,,
155,Brant,Bill,Bill Brant,,,,,,,,,,,,,false,,,,,,,,,,,,
156,Brant,Bill,Bill Brant,Bill Brandt: Shadow & Light,The Museum of Modern Art,2013,,,,,208,,,,,false,,,,,,Photography / Individual Photographers / Monographs,,,,,,
157,Brassai,,NA Brassai,Paris Nocturne,,,,,,,,,,,,false,,,,,,,,,,,,
158,Brenner,Fredirc,Fredirc Brenner,an Archeology of Fear and Desire,MACK,,,,,,,,,,,false,,,,https://mackbooks.co.uk,,,,,,,,
159,Briner,Hauser,Hauser Briner,Series 1:1,Sun,2014,,,,,,"Ed. 32/100. 2 copies. 1 blue, 1 yellow",9780984978182,,,false,,,,,,,,,,,,
160,Brinkerhoff,Jason,Jason Brinkerhoff,Dear Martin,,,,,,,,,,,,false,,,,,,,,,,,,
161,Broadbent,Robin,Robin Broadbent,Bowery,,,,,,,,,,,,false,,,,,,,,,,,,
162,Broadbent,Robin,Robin Broadbent,The Photographic Work of Robin Broadbent by Robin Broadbent,Damiani,2017,27.9,21.6,,Hardbound with flaps,184,Out of print,9788862085304,,,false,,"Robin Broadbent is a master photographer, sought out for his exquisite still life photographs. An acute knack for identifying and capturing the glancing pro le of an object is part of the character of his work, which abstracts the essence from contemporary brand and fashion advertising and then combines it with the universal photographic language of the 20th century avant-garde. The starting point for Broadbent is lighting, his end-point the printed image. He works with light to give atness or depth to his images—he can make a building seem weightless or a small crater of powder epic in scale. Being able to play with our perceptions in this way recalls the early days of Surrealism and highlights the playfulness of his work. Broadbent uses a complex and nuanced language of color and scale, guile and humour, to play with our preconceptions of fashion and abstraction. The book reads like a magazine, and there is an undercurrent that emerges suggesting these images have a meaning more than the sum of their content. This undercurrent represents the essence of the fashion world now.",,https://www.damianieditore.com/,Individual Photographer Monographs,fashion,,,,,,/assets/images/books/Broadbent_The_Photographic_Work_of_Robin_Broadbent_by_Robin_Broadbent_9788862085304.jpg
163,Broadbent,Robin,Robin Broadbent,The Photographic Work of Robin Broadbent,,,,,,,,,,,,false,,,,,,,,,,,,
164,Brohm,Joachim,Joachim Brohm,Typology 1979,MACK,2014,26.0,24.0,1.0,Hardbound,,"embossed, 35 plates. Out of print",9781907946646,,"Ulf Erdmann (Contributor) Brohm, Joachim (Photographer) & Ziegler (Author)",true,,"Joachim Brohm Typology 1979 No two of the little houses are the same… carefully proportioned furnishings here are wildly contradicted with slapdash decorations over there. Everyone has thought about their buildings, brought materials, laid walls, used power drills, insulated, glued things, extended the previous tenant’s shed, retro-fitted a bigger window, added a television antenna. They are strange hybrid buildings, between tool sheds and dachas, gingerbread houses and orangeries. Ulf Erdmann Ziegler Joachim Brohm rose to prominence in the early 1980s, one of the first photographers in Europe to take pictures exclusively in colour, connecting the everyday cultural landscape with the new possibilities of colour photography. This collection titled Typology 1979 is one of his very earliest series, depicting 35 allotment sheds from the Ruhr valley region of Germany, painterly images that are an everyday inventory – of garden structures, of human activity. Influenced by the great American photographers such as William Eggleston and Robert Adams, he also looked to his German contemporaries, Bernd and Hilla Becher, whose ‘typologies’ are heralded in the collection’s title. Joachim Brohm was born 1955 in Dülken, Germany. He lives and works in Leipzig and since 1993 he has been Professor of Photography at Leipzig Hochschule fur Grafik und Buchkunst/Academy of Visual Arts.",,https://mackbooks.co.uk,Individual Photographer Monographs,,,,,"Hudson Street Library, NYC",,
