id,row_number,title,author,isbn,issues
391,387,Protest Signs From 1992 Special Edition,"Flood, Mark",,missing_cover_image
392,388,Now Here Then,"Foote, Hugur",,missing_cover_image
393,389,Two-Frame Films,"Fowler, Luke",,missing_cover_image
394,390,Drawings,"Fox, Jason",,missing_cover_image
395,391,Penelope's Hungry Eyes,"Frajndlich, Abe",,missing_cover_image
396,392,Cali Clair - Obscur,"Franco, Fernell",,missing_cover_image
397,393,London/Wales,"Frank, Robert",,missing_cover_image
398,394,[MISSING],"Frank, Robert",,missing_title;missing_cover_image
401,397,The Americans,"Frank, Robert",,missing_cover_image
402,398,Come again,"Frank, Robert",,missing_cover_image
403,399,Street Cops,"Freedman, Jill",,missing_cover_image
404,400,"Justin Lowe,GHB","Freeman, Jonah",,missing_cover_image
405,401,Wilder Mann The Image of the Savage,"Freger, Charles",,missing_cover_image
406,402,The Nudes: A Second Look,"Freidlander, Lee",9781938922008,incomplete_dimensions
407,403,The New Cars,"Freidlander, Lee",,missing_cover_image
408,404,Nudes,"Freidlander, Lee",,missing_cover_image
409,405,Lee Friedlander,"Freidlander, Lee",,missing_cover_image
410,406,Portraits,"Freidlander, Lee",,missing_cover_image
411,407,"Tinker, Tailor, Soldier, Sailor","French, Jim",,missing_cover_image
412,408,Wives. Wheels . Weapons,"Frey, James",,missing_cover_image
414,410,Hibi,"Fukase, Masahisa",,missing_cover_image
415,411,Masahisa Fukase,"Fukase, Masahisa",,missing_cover_image;incomplete_dimensions
416,412,Ravens,"Fukase, Masahisa",,missing_cover_image
417,413,This Equals That,"Fulford, jason",,missing_cover_image
418,414,Contains 3 Books,"Fulford, jason",,missing_cover_image
421,416,An Atlas of Imagination,"Galofaro, Luca",,missing_cover_image
422,417,Facsimile Cabinet of Woman Origin Stories - Reflections,"Gates, Theaster",,missing_cover_image;incomplete_dimensions
423,418,Theaster Gates by Kavi Gupta and Theaster Gates,"Gates, Theaster",9781849767231,missing_cover_image;incomplete_dimensions
425,420,Theaster Gates - The Black Image Corporation,"Gates, Theaster",9788887029734,incomplete_dimensions
426,421,Theaster Gates: 12 Ballads for Huguenot House (dOCUMENTA) by Michael Darling (2012-10-31),"Gates, Theaster",,missing_cover_image
427,422,Theaster Gates Black Chapel,"Gates, Theaster",,missing_cover_image
428,423,And Another Thing...,"Gerace, Anthony",,missing_cover_image
429,424,Buchenwald,"Giezendanner, Ingo",,missing_cover_image
430,425,[MISSING],"Gilbert & George, Gilbert & George",,missing_title;missing_cover_image
431,426,Moscow Terminus,"Gilden, Bruce",,missing_cover_image
432,427,Night Procession,"Gill, Stephen",,missing_cover_image
433,428,Coming up for Air: Stephen Gill A Retrospective,"Gill, Stephen",,missing_cover_image
434,429,The Piller,"Gill, Stephen",,missing_cover_image
435,430,Please Notify the Sun,"Gill, Stephen",,missing_cover_image;incomplete_dimensions
436,431,Public,"Glen, Alex McWhirter",,missing_cover_image
437,432,Folding Space / Depressing Time,"Gluibizzi; Zefrey Throwell, Dan",,missing_cover_image
438,433,Burning Images - A History Of Effigy Protests Vis-A-Vis Series,"Goettke, Florian",9789492095961,incomplete_dimensions
439,434,PEEKABOO,"Gokita, Tomoo",,missing_cover_image
440,435,Past Present Future,"Goldberg, Jim",,missing_cover_image
441,436,Fingerprint,"Goldberg, Jim",,missing_cover_image;incomplete_dimensions
442,437,Last Son,"Goldberg, Jim",,missing_cover_image
443,438,Raised By Wolves,"Goldberg, Jim",,missing_cover_image
447,442,American Surveillance: Someone to Watch Over Me,"Gordon, Richard",9780960184422,missing_cover_image
448,443,"Still Lifes, Portraits & Parts","Gordon, Daniel",,missing_cover_image
449,444,Who Do You Love,"Gossage, John",,missing_cover_image
450,445,Mariposas Nocturnas,"Gowin, Emmet",,missing_cover_image
451,446,Does Yellow Run Forever?,"Graham, Paul",,missing_cover_image
452,447,Early Works,"Gravlejs, Ivars",9781910164396,missing_cover_image
453,448,Springs and Wells,"Greenberg, Stanley",,missing_cover_image
454,449,The Western Front,"Greene, Stanley",,missing_cover_image
455,450,Jenna Gribbon,"Gribbon, Jenna",,missing_cover_image
456,451,Beryl Chen,"Groebli, Rene",,missing_cover_image
